z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-50.5   -1.1698459177061964e-22   -1.1698459177061964e-22   -1.1698459177061964e-22   -1.1698459177061964e-22   -1.1698459177061964e-22
-50.2468671679198   -1.5068251353113939e-22   -1.5068251353113939e-22   -1.5068251353113939e-22   -1.5068251353113939e-22   -1.5068251353113939e-22
-49.9937343358396   -1.9408726859159342e-22   -1.9408726859159342e-22   -1.9408726859159342e-22   -1.9408726859159342e-22   -1.9408726859159342e-22
-49.7406015037594   -2.499949526098154e-22   -2.499949526098154e-22   -2.499949526098154e-22   -2.499949526098154e-22   -2.499949526098154e-22
-49.487468671679196   -3.2200708879001286e-22   -3.2200708879001286e-22   -3.2200708879001286e-22   -3.2200708879001286e-22   -3.2200708879001286e-22
-49.234335839599   -4.1476263479948123e-22   -4.1476263479948123e-22   -4.1476263479948123e-22   -4.1476263479948123e-22   -4.1476263479948123e-22
-48.9812030075188   -5.34236820289353e-22   -5.34236820289353e-22   -5.34236820289353e-22   -5.34236820289353e-22   -5.34236820289353e-22
-48.728070175438596   -6.881260658662338e-22   -6.881260658662338e-22   -6.881260658662338e-22   -6.881260658662338e-22   -6.881260658662338e-22
-48.4749373433584   -8.863437796520103e-22   -8.863437796520103e-22   -8.863437796520103e-22   -8.863437796520103e-22   -8.863437796520103e-22
-48.221804511278194   -1.1416589702046435e-21   -1.1416589702046435e-21   -1.1416589702046435e-21   -1.1416589702046435e-21   -1.1416589702046435e-21
-47.968671679197996   -1.4705188146753204e-21   -1.4705188146753204e-21   -1.4705188146753204e-21   -1.4705188146753204e-21   -1.4705188146753204e-21
-47.71553884711779   -1.894108171310131e-21   -1.894108171310131e-21   -1.894108171310131e-21   -1.894108171310131e-21   -1.894108171310131e-21
-47.462406015037594   -2.4397142891476086e-21   -2.4397142891476086e-21   -2.4397142891476086e-21   -2.4397142891476086e-21   -2.4397142891476086e-21
-47.209273182957396   -3.1424846282955186e-21   -3.1424846282955186e-21   -3.1424846282955186e-21   -3.1424846282955186e-21   -3.1424846282955186e-21
-46.95614035087719   -4.0476910280030824e-21   -4.0476910280030824e-21   -4.0476910280030824e-21   -4.0476910280030824e-21   -4.0476910280030824e-21
-46.703007518796994   -5.213646078219035e-21   -5.213646078219035e-21   -5.213646078219035e-21   -5.213646078219035e-21   -5.213646078219035e-21
-46.44987468671679   -6.715459564693884e-21   -6.715459564693884e-21   -6.715459564693884e-21   -6.715459564693884e-21   -6.715459564693884e-21
-46.19674185463659   -8.649876974472991e-21   -8.649876974472991e-21   -8.649876974472991e-21   -8.649876974472991e-21   -8.649876974472991e-21
-45.94360902255639   -1.1141511753995525e-20   -1.1141511753995525e-20   -1.1141511753995525e-20   -1.1141511753995525e-20   -1.1141511753995525e-20
-45.69047619047619   -1.4350872796313102e-20   -1.4350872796313102e-20   -1.4350872796313102e-20   -1.4350872796313102e-20   -1.4350872796313102e-20
-45.43734335839599   -1.8484704281005973e-20   -1.8484704281005973e-20   -1.8484704281005973e-20   -1.8484704281005973e-20   -1.8484704281005973e-20
-45.18421052631579   -2.3809303950072324e-20   -2.3809303950072324e-20   -2.3809303950072324e-20   -2.3809303950072324e-20   -2.3809303950072324e-20
-44.93107769423559   -3.0667677771260216e-20   -3.0667677771260216e-20   -3.0667677771260216e-20   -3.0667677771260216e-20   -3.0667677771260216e-20
-44.677944862155385   -3.950163607697561e-20   -3.950163607697561e-20   -3.950163607697561e-20   -3.950163607697561e-20   -3.950163607697561e-20
-44.42481203007519   -5.0880254592347956e-20   -5.0880254592347956e-20   -5.0880254592347956e-20   -5.0880254592347956e-20   -5.0880254592347956e-20
-44.17167919799499   -6.553653378653559e-20   -6.553653378653559e-20   -6.553653378653559e-20   -6.553653378653559e-20   -6.553653378653559e-20
