z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-50.0   -1.9287498479639178e-22   -1.9287498479639178e-22   -1.9287498479639178e-22   -1.9287498479639178e-22   -1.9287498479639178e-22
-49.49748743718593   -3.1879708227767933e-22   -3.1879708227767933e-22   -3.1879708227767933e-22   -3.1879708227767933e-22   -3.1879708227767933e-22
-48.99497487437186   -5.26929812987665e-22   -5.26929812987665e-22   -5.26929812987665e-22   -5.26929812987665e-22   -5.26929812987665e-22
-48.49246231155779   -8.70945950419251e-22   -8.70945950419251e-22   -8.70945950419251e-22   -8.70945950419251e-22   -8.70945950419251e-22
-47.98994974874372   -1.439559557753556e-21   -1.439559557753556e-21   -1.439559557753556e-21   -1.439559557753556e-21   -1.439559557753556e-21
-47.48743718592965   -2.3794033594415893e-21   -2.3794033594415893e-21   -2.3794033594415893e-21   -2.3794033594415893e-21   -2.3794033594415893e-21
-46.984924623115575   -3.93284203937826e-21   -3.93284203937826e-21   -3.93284203937826e-21   -3.93284203937826e-21   -3.93284203937826e-21
-46.482412060301506   -6.5004726690521176e-21   -6.5004726690521176e-21   -6.5004726690521176e-21   -6.5004726690521176e-21   -6.5004726690521176e-21
-45.97989949748744   -1.074442972740746e-20   -1.074442972740746e-20   -1.074442972740746e-20   -1.074442972740746e-20   -1.074442972740746e-20
-45.47738693467337   -1.7759134765200194e-20   -1.7759134765200194e-20   -1.7759134765200194e-20   -1.7759134765200194e-20   -1.7759134765200194e-20
-44.9748743718593   -2.9353523231115434e-20   -2.9353523231115434e-20   -2.9353523231115434e-20   -2.9353523231115434e-20   -2.9353523231115434e-20
-44.472361809045225   -4.851752844220992e-20   -4.851752844220992e-20   -4.851752844220992e-20   -4.851752844220992e-20   -4.851752844220992e-20
-43.969849246231156   -8.019311847531095e-20   -8.019311847531095e-20   -8.019311847531095e-20   -8.019311847531095e-20   -8.019311847531095e-20
-43.46733668341709   -1.3254871913880071e-19   -1.3254871913880071e-19   -1.3254871913880071e-19   -1.3254871913880071e-19   -1.3254871913880071e-19
-42.96482412060301   -2.1908566818917034e-19   -2.1908566818917034e-19   -2.1908566818917034e-19   -2.1908566818917034e-19   -2.1908566818917034e-19
-42.462311557788944   -3.6211990819490608e-19   -3.6211990819490608e-19   -3.6211990819490608e-19   -3.6211990819490608e-19   -3.6211990819490608e-19
-41.959798994974875   -5.985367687212739e-19   -5.985367687212739e-19   -5.985367687212739e-19   -5.985367687212739e-19   -5.985367687212739e-19
-41.45728643216081   -9.893028673764121e-19   -9.893028673764121e-19   -9.893028673764121e-19   -9.893028673764121e-19   -9.893028673764121e-19
-40.95477386934674   -1.6351880361337675e-18   -1.6351880361337675e-18   -1.6351880361337675e-18   -1.6351880361337675e-18   -1.6351880361337675e-18
-40.45226130653266   -2.7027516058918667e-18   -2.7027516058918667e-18   -2.7027516058918667e-18   -2.7027516058918667e-18   -2.7027516058918667e-18
-39.949748743718594   -4.4672943305178595e-18   -4.4672943305178595e-18   -4.4672943305178595e-18   -4.4672943305178595e-18   -4.4672943305178595e-18
-39.447236180904525   -7.383852290374128e-18   -7.383852290374128e-18   -7.383852290374128e-18   -7.383852290374128e-18   -7.383852290374128e-18
-38.94472361809045   -1.2204540514290092e-17   -1.2204540514290092e-17   -1.2204540514290092e-17   -1.2204540514290092e-17   -1.2204540514290092e-17
-38.44221105527638   -2.017250661407801e-17   -2.017250661407801e-17   -2.017250661407801e-17   -2.017250661407801e-17   -2.017250661407801e-17
-37.93969849246231   -3.3342510733489194e-17   -3.3342510733489194e-17   -3.3342510733489194e-17   -3.3342510733489194e-17   -3.3342510733489194e-17
-37.437185929648244   -5.5110802206255896e-17   -5.51108022062559e-17   -5.51108022062559e-17   -5.51108022062559e-17   -5.51108022062559e-17
-36.934673366834176   -9.109093625533419e-17   -9.10909362553342e-17   -9.10909362553342e-17   -9.10909362553342e-17   -9.10909362553342e-17
-36.4321608040201   -1.5056138426037133e-16   -1.5056138426037133e-16   -1.5056138426037136e-16   -1.5056138426037136e-16   -1.5056138426037136e-16
-35.92964824120603   -2.488582438856157e-16   -2.4885824388561573e-16   -2.488582438856158e-16   -2.488582438856158e-16   -2.488582438856158e-16
-35.42713567839196   -4.1133007546433034e-16   -4.113300754643305e-16   -4.1133007546433054e-16   -4.1133007546433054e-16   -4.113300754643306e-16
-34.92462311557789   -6.798747284388131e-16   -6.798747284388135e-16   -6.798747284388136e-16   -6.798747284388137e-16   -6.798747284388138e-16
-34.42211055276382   -1.1237438591086685e-15   -1.1237438591086693e-15   -1.1237438591086699e-15   -1.12374385910867e-15   -1.12374385910867e-15
-33.91959798994975   -1.8574013830227126e-15   -1.857401383022715e-15   -1.857401383022716e-15   -1.8574013830227165e-15   -1.857401383022717e-15
-33.41708542713568   -3.070041157235873e-15   -3.0700411572358798e-15   -3.0700411572358833e-15   -3.070041157235885e-15   -3.0700411572358857e-15
-32.91457286432161   -5.074375842115391e-15   -5.074375842115409e-15   -5.0743758421154175e-15   -5.074375842115422e-15   -5.0743758421154246e-15
-32.41206030150754   -8.387278498320823e-15   -8.387278498320872e-15   -8.387278498320897e-15   -8.38727849832091e-15   -8.387278498320916e-15
-31.90954773869347   -1.3863072582157864e-14   -1.3863072582158e-14   -1.3863072582158067e-14   -1.38630725821581e-14   -1.3863072582158118e-14
-31.4070351758794   -2.2913842846240593e-14   -2.2913842846240962e-14   -2.2913842846241148e-14   -2.2913842846241243e-14   -2.2913842846241287e-14
-30.90452261306533   -3.787358039645224e-14   -3.787358039645325e-14   -3.787358039645376e-14   -3.787358039645401e-14   -3.787358039645414e-14
-30.402010050251256   -6.260006676627141e-14   -6.260006676627417e-14   -6.260006676627556e-14   -6.260006676627625e-14   -6.260006676627661e-14
-29.899497487437188   -1.0346970944179919e-13   -1.0346970944180676e-13   -1.0346970944181054e-13   -1.0346970944181244e-13   -1.0346970944181338e-13
-29.39698492462312   -1.710218746561828e-13   -1.710218746562035e-13   -1.7102187465621382e-13   -1.71021874656219e-13   -1.710218746562216e-13
-28.894472361809047   -2.826767540829464e-13   -2.826767540830029e-13   -2.826767540830311e-13   -2.8267675408304525e-13   -2.826767540830523e-13
-28.391959798994975   -4.67227642425878e-13   -4.672276424260323e-13   -4.672276424261095e-13   -4.672276424261481e-13   -4.672276424261674e-13
-27.889447236180906   -7.722660837641762e-13   -7.722660837645979e-13   -7.722660837648088e-13   -7.722660837649142e-13   -7.722660837649669e-13
-27.386934673366838   -1.2764546657294641e-12   -1.2764546657306162e-12   -1.2764546657311924e-12   -1.2764546657314804e-12   -1.2764546657316244e-12
-26.884422110552766   -2.1098123404825185e-12   -2.109812340485666e-12   -2.10981234048724e-12   -2.109812340488027e-12   -2.10981234048842e-12
-26.381909547738694   -3.4872434028082607e-12   -3.4872434028168597e-12   -3.487243402821159e-12   -3.4872434028233087e-12   -3.487243402824384e-12
-25.879396984924625   -5.763956498440526e-12   -5.7639564984640185e-12   -5.763956498475765e-12   -5.763956498481637e-12   -5.7639564984845744e-12
-25.376884422110557   -9.527064984649609e-12   -9.52706498471379e-12   -9.52706498474588e-12   -9.527064984761926e-12   -9.527064984769948e-12
-24.874371859296485   -1.5746990326172423e-11   -1.5746990326347762e-11   -1.5746990326435434e-11   -1.5746990326479268e-11   -1.5746990326501185e-11
-24.371859296482413   -2.602771207404162e-11   -2.602771207452064e-11   -2.6027712074760154e-11   -2.6027712074879908e-11   -2.6027712074939788e-11
-23.869346733668344   -4.302039829648153e-11   -4.3020398297790204e-11   -4.302039829844455e-11   -4.302039829877172e-11   -4.30203982989353e-11
-23.366834170854275   -7.110708249322837e-11   -7.110708249680366e-11   -7.11070824985913e-11   -7.110708249948513e-11   -7.110708249993204e-11
-22.864321608040203   -1.1753069196900512e-10   -1.1753069197877273e-10   -1.175306919836565e-10   -1.1753069198609842e-10   -1.1753069198731937e-10
-22.36180904522613   -1.9426283669332882e-10   -1.9426283672001367e-10   -1.9426283673335607e-10   -1.9426283674002728e-10   -1.9426283674336288e-10
-21.859296482412063   -3.210910195901627e-10   -3.21091019663065e-10   -3.2109101969951617e-10   -3.2109101971774175e-10   -3.2109101972685454e-10
