r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0   8.86302844e+34   0   7.30042005e+14   -0.546967021   1   0.406947661   0   451.15147   0   459.949233   0.0305124894   0.358824124   1141.49122
0.0001   8.86302844e+34   4.61358605e-15   7.30042005e+14   -0.546967021   1   0.406947661   0   451.15147   0   459.949233   0.0305124894   0.358824124   1141.49122
0.0051   8.86302483e+34   2.04002029e-10   7.30041895e+14   -0.546967035   1.00000012   0.406947607   0   451.151525   0   459.949267   0.0305124813   0.358824085   1141.49116
0.0101   8.86301577e+34   1.58446359e-09   7.30041618e+14   -0.54696709   1.00000046   0.406947471   0   451.151661   0   459.94935   0.0305124611   0.358823986   1141.49102
0.0151   8.86300079e+34   5.29478375e-09   7.30041162e+14   -0.546967189   1.00000104   0.406947247   0   451.151887   0   459.949488   0.0305124276   0.358823823   1141.49078
0.0201   8.86297987e+34   1.24883535e-08   7.30040524e+14   -0.546967332   1.00000183   0.406946933   0   451.152202   0   459.94968   0.0305123808   0.358823596   1141.49046
0.0251   8.86295301e+34   2.43185586e-08   7.30039705e+14   -0.546967518   1.00000286   0.406946531   0   451.152607   0   459.949927   0.0305123207   0.358823303   1141.49003
0.0301   8.86292021e+34   4.1938778e-08   7.30038704e+14   -0.546967748   1.00000411   0.40694604   0   451.153101   0   459.950229   0.0305122474   0.358822946   1141.48951
0.0351   8.86288147e+34   6.65023819e-08   7.30037523e+14   -0.546968022   1.0000056   0.406945459   0   451.153685   0   459.950585   0.0305121608   0.358822525   1141.4889
0.0401   8.86283679e+34   9.91627303e-08   7.3003616e+14   -0.546968339   1.0000073   0.40694479   0   451.154358   0   459.950996   0.0305120609   0.358822039   1141.4882
0.0451   8.86278617e+34   1.41073171e-07   7.30034616e+14   -0.5469687   1.00000924   0.406944032   0   451.155121   0   459.951462   0.0305119477   0.358821488   1141.4874
0.0501   8.86272961e+34   1.93387038e-07   7.30032891e+14   -0.546969105   1.0000114   0.406943184   0   451.155973   0   459.951982   0.0305118212   0.358820872   1141.48651
0.0551   8.8626671e+34   2.5725765e-07   7.30030985e+14   -0.546969553   1.00001379   0.406942248   0   451.156915   0   459.952557   0.0305116814   0.358820192   1141.48552
0.0601   8.86259866e+34   3.33838309e-07   7.30028897e+14   -0.546970045   1.00001641   0.406941222   0   451.157947   0   459.953187   0.0305115284   0.358819447   1141.48445
0.0651   8.86252427e+34   4.24282296e-07   7.30026629e+14   -0.54697058   1.00001925   0.406940108   0   451.159068   0   459.953871   0.030511362   0.358818637   1141.48327
0.0701   8.86244394e+34   5.29742874e-07   7.30024179e+14   -0.546971159   1.00002232   0.406938905   0   451.160278   0   459.95461   0.0305111824   0.358817763   1141.48201
0.0751   8.86235767e+34   6.51373283e-07   7.30021548e+14   -0.546971782   1.00002562   0.406937612   0   451.161579   0   459.955404   0.0305109895   0.358816824   1141.48065
0.0801   8.86226546e+34   7.90326736e-07   7.30018735e+14   -0.546972448   1.00002914   0.406936231   0   451.162968   0   459.956252   0.0305107833   0.358815821   1141.47919
0.0851   8.86216731e+34   9.47756425e-07   7.30015742e+14   -0.546973158   1.00003289   0.40693476   0   451.164447   0   459.957155   0.0305105638   0.358814752   1141.47765
0.0901   8.86206322e+34   1.12481551e-06   7.30012567e+14   -0.546973912   1.00003687   0.406933201   0   451.166016   0   459.958113   0.0305103311   0.35881362   1141.476
0.0951   8.86195318e+34   1.32265713e-06   7.30009211e+14   -0.546974709   1.00004108   0.406931553   0   451.167674   0   459.959125   0.030510085   0.358812422   1141.47427
0.1001   8.86183721e+34   1.54243437e-06   7.30005674e+14   -0.54697555   1.00004551   0.406929815   0   451.169422   0   459.960192   0.0305098257   0.35881116   1141.47244
0.1051   8.8617153e+34   1.78530032e-06   7.30001956e+14   -0.546976434   1.00005017   0.406927989   0   451.17126   0   459.961313   0.0305095531   0.358809833   1141.47052
0.1101   8.86158744e+34   2.05240801e-06   7.29998056e+14   -0.546977362   1.00005506   0.406926073   0   451.173187   0   459.96249   0.0305092672   0.358808441   1141.4685
0.1151   8.86145365e+34   2.34491043e-06   7.29993975e+14   -0.546978334   1.00006017   0.406924069   0   451.175203   0   459.96372   0.030508968   0.358806985   1141.46639
0.1201   8.86131392e+34   2.66396054e-06   7.29989714e+14   -0.54697935   1.00006551   0.406921975   0   451.177309   0   459.965006   0.0305086555   0.358805464   1141.46419
0.1251   8.86116824e+34   3.01071127e-06   7.2998527e+14   -0.546980409   1.00007108   0.406919793   0   451.179505   0   459.966346   0.0305083298   0.358803879   1141.46189
0.1301   8.86101663e+34   3.3863155e-06   7.29980646e+14   -0.546981511   1.00007688   0.406917521   0   451.18179   0   459.967741   0.0305079907   0.358802228   1141.4595
0.1351   8.86085908e+34   3.79192606e-06   7.29975841e+14   -0.546982658   1.0000829   0.40691516   0   451.184165   0   459.969191   0.0305076384   0.358800514   1141.45702
0.1401   8.86069559e+34   4.22869575e-06   7.29970854e+14   -0.546983848   1.00008915   0.406912711   0   451.186629   0   459.970695   0.0305072728   0.358798734   1141.45444
0.1451   8.86052616e+34   4.6977773e-06   7.29965686e+14   -0.546985081   1.00009563   0.406910172   0   451.189183   0   459.972254   0.030506894   0.35879689   1141.45177
