r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
11.5451   4.37657592e+32   1.38210951   1.36040357e+14   -0.656581806   1.54692421   0.0804937422   1520.04218   18.8537997   50.3289613   1.14473157   0.00266516711   0.0768907924   951.94026
11.5476   4.30399264e+32   1.38239482   1.34861446e+14   -0.656620818   1.54691566   0.0797989479   1655.84211   70.2056228   54.8202168   9.40032496   0.00264191592   0.0742266809   951.760561
11.5501   4.23207486e+32   1.38267772   1.33641137e+14   -0.65665982   1.54690563   0.0790797059   1772.1085   122.092487   58.6558792   21.2162492   0.00261749756   0.0719606424   951.608583
11.5526   4.16084485e+32   1.38295812   1.32378243e+14   -0.656698814   1.54689409   0.0783353117   1866.39731   169.291014   61.7540584   32.8259009   0.00259190441   0.0700157751   951.478579
11.5551   4.09032524e+32   1.38323594   1.31072288e+14   -0.656737799   1.54688096   0.0775654803   1936.01733   208.889829   64.0255488   42.3258607   0.00256514875   0.0683270369   951.365882
11.5576   4.02053862e+32   1.38351107   1.29723787e+14   -0.656776775   1.54686621   0.0767705109   1978.09177   239.726001   65.3760372   49.2295579   0.00253726943   0.0668400005   951.266692
11.5601   3.95150697e+32   1.38378344   1.28334445e+14   -0.656815741   1.54684976   0.0759514027   1989.66725   261.479791   65.7098491   53.6525965   0.00250833662   0.0655096958   951.177923
11.5626   3.883251e+32   1.38405294   1.2690724e+14   -0.656854698   1.54683158   0.0751099083   1967.8609   274.140867   64.9348738   55.847706   0.00247845384   0.0642995753   951.097092
11.5651   3.81578948e+32   1.38431952   1.25446405e+14   -0.656893646   1.54681161   0.0742485179   1923.73359   279.82654   63.4198767   56.4826157   0.00244775674   0.0631805679   951.022234
11.5676   3.74913859e+32   1.38458308   1.23957255e+14   -0.656932583   1.54678982   0.0733703635   1878.44811   282.399666   61.8655433   56.4903375   0.00241640819   0.0621301557   950.951829
11.5701   3.68331141e+32   1.38484359   1.22445895e+14   -0.656971512   1.54676617   0.0724790415   1762.89621   271.802435   58   53.7961238   0.00238458984   0.0611314234   950.884735
11.5726   3.61831766e+32   1.385101   1.20918803e+14   -0.65701043   1.54674063   0.0715783708   1764.74448   277.86067   58   54.6416584   0.00235249099   0.0601720744   950.820118
11.5751   3.55416364e+32   1.38535527   1.19382378e+14   -0.657049339   1.5467132   0.0706721244   1766.57738   282.966916   58   55.2865901   0.00232029645   0.0592434512   950.757385
11.5776   3.49085234e+32   1.3856064   1.17842471e+14   -0.657088238   1.54668385   0.069763754   1768.35178   287.360591   58   55.784155   0.00228817466   0.0583395908   950.696124
11.5801   3.42838384e+32   1.38585437   1.1630406e+14   -0.657127126   1.5466526   0.068856196   1770.02767   291.216655   58   56.1723623   0.00225626945   0.057456422   950.63605
11.5826   3.36675572e+32   1.3860992   1.14771345e+14   -0.657166004   1.54661944   0.0679519294   1771.56894   294.66103   58   56.4785423   0.00222470141   0.0565912812   950.576973
11.5851   3.30596365e+32   1.38634089   1.13247552e+14   -0.657204873   1.54658439   0.0670528588   1222.72007   204.997377   40   38.7482065   0.0021935637   0.0557423415   950.518757
11.5876   3.24600184e+32   1.38657946   1.11734961e+14   -0.65724373   1.54654745   0.0661603317   1223.53543   207.027951   40   38.9380437   0.00216292329   0.0549082691   950.461302
11.5901   3.18686349e+32   1.38681494   1.10235028e+14   -0.657282577   1.54650865   0.0652752094   1224.20236   208.903019   40   39.0929875   0.00213282417   0.0540880117   950.404526
11.5926   3.12854118e+32   1.38704736   1.08748631e+14   -0.657321414   1.546468   0.0643980117   1224.70813   210.646782   40   39.2205116   0.00210329335   0.053280725   950.348362
11.5951   3.07102718e+32   1.38727673   1.07276127e+14   -0.657360239   1.54642551   0.0635289514   1225.04241   212.276616   40   39.3263032   0.00207434293   0.052485652   950.292748
11.5976   3.0143137e+32   1.38750309   1.05817494e+14   -0.657399054   1.54638121   0.0626680179   1225.19686   213.805065   40   39.4147225   0.00204597383   0.0517020922   950.237626
11.6001   2.95839299e+32   1.38772646   1.0437246e+14   -0.657437858   1.54633511   0.0618150522   1225.16489   215.241232   40   39.4891381   0.00201817904   0.0509293934   950.182942
11.6026   2.90325754e+32   1.38794686   1.02940557e+14   -0.657476651   1.54628722   0.0609697806   1224.9413   216.591813   40   39.552175   0.00199094538   0.050166929   950.128644
11.6051   2.8489001e+32   1.38816433   1.01521211e+14   -0.657515433   1.54623758   0.0601318652   1224.52215   217.861771   40   39.6058947   0.00196425569   0.0494141065   950.07468
11.6076   2.79531371e+32   1.38837889   1.00113833e+14   -0.657554204   1.54618619   0.0593009599   1223.90454   219.054799   40   39.6519275   0.00193809101   0.0486703916   950.021003
11.6101   2.7424918e+32   1.38859055   9.87177764e+13   -0.657592963   1.54613306   0.0584766853   1223.0865   220.173742   40   39.6915757   0.00191243008   0.0479352671   949.967567
11.6126   2.69042807e+32   1.38879934   9.73324031e+13   -0.657631711   1.54607822   0.0576586651   1222.06685   221.220807   40   39.725886   0.00188725077   0.0472082536   949.914328
11.6151   2.63911659e+32   1.38900529   9.59571564e+13   -0.657670447   1.54602167   0.0568465721   1220.84522   222.197707   40   39.7557048   0.00186253167   0.0464889402   949.861247
11.6176   2.58855169e+32   1.38920839   9.4591486e+13   -0.657709171   1.54596343   0.0560400822   1219.4219   223.105862   40   39.7817234   0.0018382508   0.0457769378   949.808284
