r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0   1.35773987e+35   0   9.84595516e+14   -0.509282209   1   0.537933298   0   310.547328   0   483.794723   0.02664022   0.496887221   1184.27515
0.001   1.35773985e+35   6.22227688e-12   9.84595512e+14   -0.509282219   1.00000002   0.537933296   0   310.547329   0   483.794724   0.0266402199   0.496887219   1184.27514
0.006   1.35773894e+35   4.52152116e-10   9.84595252e+14   -0.50928225   1.00000022   0.537933173   0   310.547376   0   483.794779   0.0266402139   0.496887107   1184.27504
0.011   1.35773699e+35   2.7647641e-09   9.84594698e+14   -0.509282333   1.00000074   0.537932911   0   310.547476   0   483.794895   0.0266402009   0.496886868   1184.27481
0.016   1.35773391e+35   8.49962278e-09   9.8459382e+14   -0.509282473   1.00000157   0.537932496   0   310.547635   0   483.795079   0.0266401805   0.49688649   1184.27445
0.021   1.35772968e+35   1.9212286e-08   9.84592619e+14   -0.50928267   1.0000027   0.537931927   0   310.547853   0   483.795331   0.0266401525   0.496885972   1184.27396
0.026   1.35772432e+35   3.64583016e-08   9.84591093e+14   -0.509282923   1.00000414   0.537931205   0   310.54813   0   483.795651   0.026640117   0.496885315   1184.27334
0.031   1.35771781e+35   6.17932046e-08   9.84589242e+14   -0.509283233   1.00000589   0.537930329   0   310.548466   0   483.79604   0.0266400738   0.496884517   1184.27258
0.036   1.35771016e+35   9.6772514e-08   9.84587067e+14   -0.509283601   1.00000794   0.5379293   0   310.54886   0   483.796496   0.0266400232   0.49688358   1184.27169
0.041   1.35770138e+35   1.4295173e-07   9.84584568e+14   -0.509284025   1.0000103   0.537928117   0   310.549314   0   483.79702   0.0266399649   0.496882503   1184.27067
0.046   1.35769145e+35   2.01886329e-07   9.84581743e+14   -0.509284506   1.00001296   0.537926781   0   310.549826   0   483.797613   0.0266398991   0.496881286   1184.26951
0.051   1.35768038e+35   2.75131765e-07   9.84578595e+14   -0.509285044   1.00001593   0.537925291   0   310.550397   0   483.798274   0.0266398258   0.496879929   1184.26823
0.056   1.35766817e+35   3.6424346e-07   9.84575121e+14   -0.509285639   1.00001921   0.537923647   0   310.551027   0   483.799003   0.0266397448   0.496878432   1184.26681
0.061   1.35765481e+35   4.70776809e-07   9.84571323e+14   -0.509286291   1.00002279   0.53792185   0   310.551716   0   483.7998   0.0266396564   0.496876796   1184.26525
0.066   1.35764032e+35   5.96287168e-07   9.845672e+14   -0.509287   1.00002668   0.537919899   0   310.552464   0   483.800665   0.0266395603   0.496875019   1184.26357
0.071   1.35762469e+35   7.42329859e-07   9.84562753e+14   -0.509287766   1.00003088   0.537917794   0   310.55327   0   483.801598   0.0266394567   0.496873103   1184.26175
0.076   1.35760791e+35   9.10460161e-07   9.84557981e+14   -0.509288589   1.00003538   0.537915536   0   310.554136   0   483.802599   0.0266393455   0.496871047   1184.2598
0.081   1.35758999e+35   1.10223331e-06   9.84552885e+14   -0.509289469   1.00004019   0.537913124   0   310.55506   0   483.803669   0.0266392268   0.49686885   1184.25771
0.086   1.35757094e+35   1.31920449e-06   9.84547464e+14   -0.509290406   1.00004531   0.537910559   0   310.556044   0   483.804806   0.0266391005   0.496866514   1184.2555
0.091   1.35755074e+35   1.56292885e-06   9.84541718e+14   -0.509291399   1.00005073   0.53790784   0   310.557086   0   483.806012   0.0266389666   0.496864039   1184.25315
0.096   1.3575294e+35   1.83496148e-06   9.84535647e+14   -0.50929245   1.00005645   0.537904967   0   310.558187   0   483.807286   0.0266388252   0.496861423   1184.25067
0.101   1.35750692e+35   2.13685739e-06   9.84529253e+14   -0.509293557   1.00006249   0.537901941   0   310.559347   0   483.808628   0.0266386762   0.496858667   1184.24805
0.106   1.35748329e+35   2.47017156e-06   9.84522533e+14   -0.509294722   1.00006883   0.537898761   0   310.560566   0   483.810038   0.0266385197   0.496855771   1184.2453
0.111   1.35745853e+35   2.83645891e-06   9.84515489e+14   -0.509295943   1.00007547   0.537895427   0   310.561844   0   483.811516   0.0266383555   0.496852736   1184.24242
0.116   1.35743263e+35   3.23727427e-06   9.8450812e+14   -0.509297222   1.00008243   0.53789194   0   310.563181   0   483.813062   0.0266381839   0.496849561   1184.23941
