r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
10.7952969   5.37373798e+32   1.38377761   1.28447706e+14   -0.632839144   1.60918916   0.0759576551   1424.75114   615.749738   53.1571002   53.1571002   0.00283396067   0.0627548135   953.02154
10.8002969   5.21106183e+32   1.38424667   1.26128086e+14   -0.632928719   1.60906747   0.0745950809   1304.43165   532.703155   48.6725103   48.6725103   0.00278338067   0.0617519107   952.849913
10.8027969   5.13090864e+32   1.38447809   1.24960679e+14   -0.632973482   1.60900448   0.0739060547   1263.83149   503.307978   47.124249   47.124249   0.00275572128   0.0612393541   952.804832
10.8052969   5.0515324e+32   1.38470746   1.23798115e+14   -0.63301823   1.60894007   0.0732200359   1228.91838   477.920338   45.8053659   45.8053659   0.00272912391   0.0607251947   952.75754
10.8077969   4.97292783e+32   1.38493481   1.22645391e+14   -0.633062964   1.60887426   0.0725410075   1197.85322   455.524048   44.6574044   44.6574044   0.00270441573   0.0602118381   952.694306
10.8102969   4.89508892e+32   1.38516013   1.2149948e+14   -0.633107685   1.60880707   0.0718664078   1174.44043   437.483098   43.7583482   43.7583482   0.00267766268   0.059697493   952.625009
10.8127969   4.81801158e+32   1.38538345   1.20358191e+14   -0.63315239   1.60873849   0.0711947272   1156.16785   422.397901   43.0287147   43.0287147   0.00264963052   0.059182115   952.552428
10.8152969   4.7416929e+32   1.38560477   1.19219492e+14   -0.633197082   1.60866853   0.07052456   1140.27463   408.911326   42.3914332   42.3914332   0.00262185713   0.0586656925   952.479298
10.8177969   4.66613112e+32   1.38582409   1.18082082e+14   -0.633241759   1.6085972   0.069854969   1124.45154   395.984798   41.7875523   41.7875523   0.00259599287   0.0581485263   952.407936
10.8202969   4.59132408e+32   1.3860414   1.1694861e+14   -0.633286421   1.60852449   0.0691876428   1111.41787   384.724142   41.2799813   41.2799813   0.00256974867   0.0576320622   952.336635
10.8227969   4.51726928e+32   1.38625673   1.15818373e+14   -0.633331069   1.60845042   0.0685221998   1101.11255   374.994286   40.8608071   40.8608071   0.00254276676   0.0571149864   952.264936
10.8252969   4.44396463e+32   1.38647006   1.14689876e+14   -0.633375702   1.60837498   0.0678577491   1092.47212   366.275314   40.5002055   40.5002055   0.00251562739   0.0565955204   952.192983
10.8277969   4.37140868e+32   1.3866814   1.13561737e+14   -0.633420321   1.60829818   0.0671934655   1084.35635   358.057989   40.1689577   40.1689577   0.00248911852   0.0560719305   952.120922
10.8302969   4.29960037e+32   1.38689075   1.12434662e+14   -0.633464924   1.60822002   0.0665298225   1076.86066   350.378156   39.8691184   39.8691184   0.00246316489   0.055543066   952.047931
10.8327969   4.22853836e+32   1.38709811   1.11309965e+14   -0.633509513   1.6081405   0.0658676011   1070.83723   343.551953   39.6187662   39.6187662   0.00243696523   0.0550102444   951.973878
10.8352969   4.15822119e+32   1.38730349   1.10186739e+14   -0.633554087   1.60805962   0.0652061578   1065.85506   337.354483   39.4048921   39.4048921   0.00241068576   0.0544754587   951.900335
10.8377969   4.08864747e+32   1.38750687   1.09064147e+14   -0.633598646   1.60797739   0.0645448892   1061.45187   331.563769   39.2146492   39.2146492   0.00238456898   0.0539407083   951.828928
10.8402969   4.0198159e+32   1.38770826   1.07941848e+14   -0.633643189   1.6078938   0.0638834807   1057.26296   326.014042   39.0380815   39.0380815   0.00235881575   0.0534079493   951.761436
10.8427969   3.95172512e+32   1.38790767   1.06822146e+14   -0.633687718   1.60780886   0.0632232229   1053.82683   320.924827   38.8859444   38.8859444   0.00233292099   0.0528775929   951.698981
10.8452969   3.88437362e+32   1.38810509   1.0570468e+14   -0.633732231   1.60772257   0.0625640126   1051.14492   316.279944   38.7584965   38.7584965   0.0023069008   0.0523485209   951.640058
10.8477969   3.81776002e+32   1.38830052   1.04588522e+14   -0.633776729   1.60763493   0.0619054306   1049.04301   311.993698   38.6525502   38.6525502   0.00228093867   0.0518195965   951.58282
10.8502969   3.7518831e+32   1.38849396   1.03472825e+14   -0.633821211   1.60754594   0.0612471031   1047.33818   307.982405   38.5650151   38.5650151   0.00225523667   0.0512897235   951.525362
10.8527969   3.68674176e+32   1.38868542   1.02356815e+14   -0.633865678   1.60745561   0.060588701   1045.83798   304.163669   38.4928688   38.4928688   0.00223001359   0.0507578407   951.465696
10.8552969   3.62233506e+32   1.3888749   1.0124019e+14   -0.633910129   1.60736393   0.0599301585   1044.40328   300.481661   38.4330951   38.4330951   0.00220537556   0.0502231403   951.401955
10.8577969   3.55866219e+32   1.38906238   1.00125383e+14   -0.633954565   1.60727091   0.0592728643   1043.36244   297.066984   38.383448   38.383448   0.00218054324   0.0496868153   951.334737
10.8602969   3.49572222e+32   1.38924787   9.90124745e+13   -0.633998985   1.60717654   0.058616783   1042.7286   293.911795   38.3436378   38.3436378   0.00215548006   0.0491495142   951.265283
10.8627969   3.43351406e+32   1.38943138   9.79009561e+13   -0.634043389   1.60708084   0.0579615431   1042.41368   290.968594   38.313603   38.313603   0.00213035919   0.0486116052   951.194686
10.8652969   3.37203642e+32   1.3896129   9.67903698e+13   -0.634087777   1.60698379   0.0573068044   1042.32582   288.190728   38.2933008   38.2933008   0.00210535578   0.0480734749   951.124078
10.8677969   3.31128782e+32   1.38979242   9.56803079e+13   -0.63413215   1.6068854   0.0566522561   1042.36934   285.532155   38.2827047   38.2827047   0.00208064599   0.0475355297   951.054635
10.8702969   3.25126658e+32   1.38996997   9.45707012e+13   -0.634176506   1.60678567   0.055997794   1042.47467   282.95961   38.2815967   38.2815967   0.0020563425   0.0469982961   950.987478
